iata_code,icao_code,airport_name,alt_name,other_codes
CTN,YCKN,Cooktown Airport,,
PGF,LFMP,Perpignan–Rivesaltes Airport,,
SFU,,Safia Airport,,
YER,CYER,Fort Severn Airport,,
VAD,KVAD,Moody Air Force Base,,
MLK,,Malta Airport,,FAA: M75
BNU,SSBL,Blumenau Airport,,
TZX,LTCG,Trabzon Airport,,
IDB,ESUE,Idre Airport,,
KTJ,,Kichwa Tembo Airport,,
YVC,CYVC,La Ronge  Airport,Barber Field,
KKN,ENKR,"Kirkenes Airport, Høybuktmoen",,
MQQ,FTTD,Moundou Airport,,
CPL,SKHA,General Navas Pardo Airport,,
GNV,KGNV,Gainesville Regional Airport,,
LSL,MRLC,Los Chiles Airport,,
OOA,KOOA,Oskaloosa Municipal Airport,,
FOD,KFOD,Fort Dodge Regional Airport,,
UOS,KUOS,Franklin County Airport,,
QBC,CYBD,Bella Coola Airport,,
MWJ,SYMR,Matthews Ridge Airport,,
ITM,RJOO,Osaka International Airport,Itami Int'l,
MAY,MYAB,Clarence A. Bain Airport,,
SNF,SVSP,Sub Teniente Nestor Arias Airport,,
CRR,SANW,Ceres Airport,,
NRB,KNRB,NS Mayport,Admiral David L. McDonald Field,
NHZ,KBXM,Brunswick Executive Airport,,
UST,KSGJ,Northeast Florida Regional Airport,,FAA: SGJ
FSK,KFSK,Fort Scott Municipal Airport,,
TNQ,,Teraina Airport,,
KDM,VRMT,Kaadedhdhoo Airport,,
SEV,,Severodonetsk Airport,,
YGB,CYGB,Texada/Gillies Bay Airport,,
DCY,ZUDC,Daocheng Yading Airport,,
DRY,YDRD,Drysdale River Airport,,
IWS,KIWS,West Houston Airport,,
KVA,LGKV,Kavala International Airport,Alexander the Great Airport,
OIT,RJFO,Oita Airport,,
KJP,ROKR,Kerama Airport,,
PLI,,Palm Island Airport,,
PGK,WIPK,Depati Amir Airport,,
SWN,OPSW,Sahiwal Airport,,
BBJ,EDRB,Bitburg Airport,former Bitburg Air Base,
PCQ,,Boun Neua Airport,,
CNE,,Fremont County Airport,,FAA: 1V6
EPR,YESP,Esperance Airport,,
GGM,HKKG,Kakamega Airport,,
TMF,VRNT,Thimarafushi Airport,,
NRT,RJAA,Narita International Airport,,
CVB,AYCB,Chungrebu Airport,,
CGV,YCAG,Caiguna Airport,,
TNV,,Tabuaeran Island Airport,,
BKJ,GUOK,Boké Baralande Airport,,
SSW,,Stuart Island Airpark,,FAA: 7WA5
LMQ,HLMB,Marsa Brega Airport,,
SXS,WBKH,Sahabat Airport,,
DDN,YDLT,Delta Downs Airport,,
CGT,,Chinguetti Airport,,
GBZ,NZGB,Great Barrier Aerodrome,,
GDI,,Gordil Airport,,
CUX,,Cuddihy Field,,FAA: 07TE
SUV,NFNA,Nausori International Airport,,
DBA,OPDB,Dalbandin Airport,,
SZF,LTFH,Samsun-Çarşamba Airport,,
LIQ,FZGA,Lisala Airport,,
NLV,UKON,Mykolaiv International Airport,,
CVC,YCEE,Cleve Airport,,
YEU,CYEU,Eureka Aerodrome,,
BXJ,UAAR,Boraldai Airport,,
FSU,KFSU,Fort Sumner Municipal Airport,,
YFA,CYFA,Fort Albany Airport,,
MDB,MZML,Melinda Airport,,
NUQ,KNUQ,Moffett Federal Airfield,,
THN,ESGT,Trollhättan–Vänersborg Airport,,
WLS,NLWW,Hihifo Airport,,
BHU,VABV,Bhavnagar Airport,,
TGT,HTTG,Tanga Airport,,
ELF,HSFS,El Fasher Airport,,
NAQ,BGQQ,Qaanaaq Airport,,
MTJ,KMTJ,Montrose Regional Airport,,
KNF,EGYM,RAF Marham,,
BUZ,OIBB,Bushehr Airport,,
STP,KSTP,St. Paul Downtown Airport,Holman Field,
EME,EDWE,Emden Airport,,
ZHP,CZHP,High Prairie Airport,,
AII,HDAS,Ali-Sabieh Airport,,
GHC,MYBG,Great Harbour Cay Airport,,
ABB,DNAS,Asaba International Airport,,
KDT,VTBK,Kamphaeng Saen Airport,,
CWB,SBCT,Afonso Pena International Airport,,
ABF,NGAB,Abaiang Atoll Airport,,
ISI,YISF,Isisford Airport,,
SVY,,Savo Airport,,
EIH,,Einasleigh Airport,,
SFM,KSFM,Sanford Seacoast Regional Airport,,
XPR,KIEN,Pine Ridge Airport,,FAA: IEN
VKS,KVKS,Vicksburg Municipal Airport,,
SPB,,Charlotte Amalie Harbor Seaplane Base,St. Thomas Seaplane Base,FAA: VI22
OXD,KOXD,Miami University Airport,,
BBB,KBBB,Benson Municipal Airport,,
SIZ,AYZN,Sissano Airport,,
LNU,WALM,Robert Atty Bessing Airport,,
VNE,LFRV,Meucon Airport,,
GNM,SNGI,Guanambi Airport,,
YMU,,Mansons Landing Water Aerodrome,,TC: CAV7
TJK,LTAW,Tokat Airport,,
FAC,NTKF,Faaite Airport,,
ORF,KORF,Norfolk International Airport,,
NAC,YNRC,Naracoorte Airport,,
HLV,,Helenvale Airport,,
OGS,KOGS,Ogdensburg International Airport,,
TOS,ENTC,"Tromsø Airport, Langnes",,
SEK,UESK,Srednekolymsk Airport,,
ETR,SERO,Santa Rosa International Airport,,
FUG,ZSFY,Fuyang Xiguan Airport,,
WIU,,Witu Airport,,
SCK,KSCK,Stockton Metropolitan Airport,,
PHW,FAPH,Hendrik Van Eck Airport,,
ONI,WABD,Moanamani Airport,,
BFR,KBFR,Virgil I. Grissom Municipal Airport,,
CIY,LICB,Comiso Airport,,
CCV,NVSF,Craig Cove Airport,,
LUB,SYLP,Lumid Pau Airport,,
RCB,FARB,Richards Bay Airport,,
RKR,KRKR,Robert S. Kerr Airport,,
RNM,OOGB,Qarn Alam Airport,,
DRV,VRMD,Dharavandhoo Airport,,
AUY,NVVA,Anatom Airport,,
BFL,KBFL,Meadows Field Airport,,
SRR,,Dunwich Airport,,
OBO,RJCB,Tokachi–Obihiro Airport,,
GND,TGPY,Maurice Bishop International Airport,,
OEL,UUOR,Oryol Yuzhny Airport,,
RIW,KRIW,Central Wyoming Regional Airport,,
TIN,DAOF,Tindouf Airport,,
PLP,MPLP,Captain Ramon Xatruch Airport,,
ACS,UNKS,Achinsk Airport,,
OSZ,EPKZ,Koszalin-Zegrze Pomorskie Airport,,
BIN,OABN,Bamyan Airport,,
UMM,PAST,Summit Airport,,
STQ,KOYM,St. Marys Municipal Airport,,FAA: OYM
BHY,ZGBH,Beihai Fucheng Airport,,
LPJ,SVAS,Armando Schwarck Airport,,
ISD,,Iscuande Airport,,
LNJ,ZPLC,Lincang Airport,,
LIG,LFBL,Limoges – Bellegarde Airport,,
PBR,MGPB,Puerto Barrios Airport,,
MSH,OOMA,Masirah Air Base,,
URU,,Uroubi Airport,,
OZZ,GMMZ,Ouarzazate Airport,,
TES,HHTS,Teseney Airport,,
BNN,ENBN,"Brønnøysund Airport, Brønnøy",,
UFA,UWUU,Ufa International Airport,,
AST,KAST,Astoria Regional Airport,,
SFL,GVSF,São Filipe Airport,,
JZH,ZUJZ,Jiuzhai Huanglong Airport,,
LIF,NWWL,Ouanaham Airport,,
MTE,SNMA,Monte Alegre Airport,,
MZN,,Minj Airport,,
DBO,YSDU,Dubbo Regional Airport,,
KIN,MKJP,Norman Manley International Airport,,
YUS,ZLYS,Yushu Batang Airport,,
LMT,KLMT,Klamath Falls Airport,,
BEQ,EGXH,RAF Honington,,
DMU,VEMR,Dimapur Airport,,
YXY,CYXY,Erik Nielsen Whitehorse International Airport,,
IXT,VEPG,Pasighat Airport,,
LBC,EDHL,Lübeck Airport,,
DFI,KDFI,Defiance Memorial Airport,,
MBS,KMBS,MBS International Airport,,
WFB,,Ketchikan Harbor Seaplane Base,,FAA: 5KE
YQC,CYHA,Quaqtaq Airport,,
WHA,ZSWA,Wuhu Xuanzhou Airport,,
ZBF,CZBF,Bathurst Airport,,
YHE,CYHE,Hope Aerodrome,,
IPU,SNIU,Ipiaú Airport,,
JAG,OPJA,PAF Base Shahbaz,,
OCH,KOCH,A.L. Mangham Jr. Regional Airport,,
MIZ,,Mainoru Airport,,
KRP,EKKA,Karup Airport,,
JDR,SNJR,Prefeito Octávio de Almeida Neves Airport,,
CLT,KCLT,Charlotte Douglas International Airport,,
UAP,NTMP,Ua Pou Airport,,
TUU,OETB,Tabuk Regional Airport,,
ATS,KATS,Artesia Municipal Airport,,
UDA,YUDA,Undara Airport,,
AKT,LCRA,RAF Akrotiri,,
FRN,PAFR,Bryant Army Airport,,
NIS,,Simberi Airport,,
LAE,AYNZ,Lae Nadzab Airport,,
LDK,ESGL,Lidköping-Hovby Airport,,
BZI,LTBF,Balıkesir Airport,Merkez Airport,
QAQ,LIAP,L'Aquila–Preturo Airport,,
YUK,UDCK,Syunik Airport,,
OTA,,Mota Airport,,
CYG,YCRG,Corryong Airport,,
TIB,SKTB,Tibú Airport,,
MQS,TVSM,Mustique Airport,,
THO,BITN,Thorshofn Airport,,
ISU,ORSU,Sulaimaniyah International Airport,,
DEI,FSSD,Denis Island Airport,,
TWF,KTWF,Magic Valley Regional Airport,Joslin Field,
AGL,AYWG,Wanigela Airport,,
LOE,VTUL,Loei Airport,,
HKS,KHKS,Hawkins Field,,
OSO,YOSB,Osborne Mine Airport,,
MHI,HDMO,Moucha Airport,,
ARU,SBAU,Araçatuba Airport,,
JKH,LGHI,Chios Island National Airport,,
CJD,,Candilejas Airport,,
FSZ,RJNS,Shizuoka Airport,Mt. Fuji Shizuoka Airport,
LER,YLST,Leinster Airport,,
IVL,EFIV,Ivalo Airport,,
HGR,KHGR,Hagerstown Regional Airport,Richard A. Henson Field,
KKK,,Kalakaket Creek Air Station,,FAA: 1KC
NVK,ENNK,"Narvik Airport, Framnes",,
ILH,ETIK,Storck Barracks,,
KGU,WBKG,Keningau Airport,,
GYU,ZLGY,Guyuan Liupanshan Airport,,
CNB,YCNM,Coonamble Airport,,
LBT,KLBT,Lumberton Municipal Airport,,
MCH,SEMH,General Manuel Serrano Airport,,
BCB,KBCB,Virginia Tech Montgomery Executive Airport,,
KVE,,Kitava Island Airport,,
YPN,CYPN,Port-Menier Airport,,
DJM,FCBD,Djambala Airport,,
MMW,,Moma Airport,,
PKA,PAPK,Napaskiak Airport,,
IKS,UEST,Tiksi Airport,,
HBH,,Entrance Island Seaplane Base,Hobart Bay,FAA: 2Z1
TLA,PATE,Teller Airport,,FAA: TER
UGB,,Ugashik Bay Airport,,
FLA,SKFL,Gustavo Artunduaga Paredes Airport,,
AOS,,Amook Bay Seaplane Base,,FAA: AK81
HOQ,EDQM,Hof–Plauen Airport,,
YML,CYML,Charlevoix Airport,,
ZIX,UEVV,Zhigansk Airport,,
ACB,KACB,Antrim County Airport,,
NQU,SKNQ,Reyes Murillo Airport,,
CPS,KCPS,St. Louis Downtown Airport,,
KGH,AYJO,Yongai Airport,,
GWV,,Glendale Fokker Field,,FAA: WV66
GRS,LIRS,Grosseto Airport,,
PAF,HUPA,Pakuba Airfield,,
YPH,CYPH,Inukjuak Airport,,
UIB,SKUI,El Caraño Airport,,
KBS,GFBO,Bo Airport,,
DIY,LTCC,Diyarbakır Airport,,
KDH,OAKN,Kandahar International Airport,,
YNN,,Yandicoogina Airport,,
SZZ,EPSC,"""Solidarity"" Szczecin–Goleniów Airport",,
PPQ,NZPP,Kapiti Coast Airport,,
CAD,KCAD,Wexford County Airport,,
GOH,BGGH,Nuuk Airport,,
KDN,FOGE,Ndendé Airport,,
SBN,KSBN,South Bend International Airport,,
FLZ,WIMS,Ferdinand Lumban Tobing Airport,,
DLB,,Dalbertis Airport,,
DNG,,Doongan Airport,,
WSN,PFWS,South Naknek Airport,,
UZC,LYUZ,Užice-Ponikve Airport,,
TBS,UGTB,Tbilisi International Airport,,
ECI,MNLP,Costa Esmeralda Airport,,
FIH,FZAA,N'djili Airport,Kinshasa Int'l Airport,
CPA,GLCP,Cape Palmas Airport,,
RAV,SKCN,Cravo Norte Airport,,
MGU,VYMN,Manaung Airport,,
UKA,HKUK,Ukunda Airport,Diani Airport,
MGX,FOGI,Moabi Airport,,
HSV,KHSV,Huntsville International Airport,Carl T. Jones Field,
LNV,AYKY,Lihir Island Airport,,
LHV,KLHV,William T. Piper Memorial Airport,,
BZV,FCBB,Maya-Maya Airport,,
DUF,,Pine Island Airport,,FAA: 7NC2
PVW,KPVW,Hale County Airport,,
GSP,KGSP,Greenville–Spartanburg International Airport,,
MET,YMOT,Moreton Airport,,
STF,YSTI,Stephens Island Airport,,
TNN,RCNN,Tainan Airport,,
TUO,NZAP,Taupō Airport,,
FUM,,Fuma Airport,,
MXV,ZMMN,Mörön Airport,,
SBK,LFRT,Saint-Brieuc – Armor Airport,,
BWL,KBKN,Blackwell–Tonkawa Municipal Airport,,FAA: BKN
CPG,,Carmen de Patagones Airport,,
RNP,,Rongelap Airport,,
ALQ,SSLT,Alegrete Airport,,
GBV,YGIB,Gibb River Airport,,
YHR,CYHR,Chevery Airport,,
PIT,KPIT,Pittsburgh International Airport,,
GJR,BIGJ,Gjögur Airport,,
MJN,FMNM,Amborovy Airport,Philibert Tsiranana Airport,
JJI,SPJI,Juanjuí Airport,,
OGD,KOGD,Ogden-Hinckley Airport,,
KLS,KKLS,Southwest Washington Regional Airport,,
LNM,,Langimar Airport,,
YBH,CYBH,Bull Harbour Waterdrome,,
SIT,PASI,Sitka Rocky Gutierrez Airport,,
HYA,KHYA,Barnstable Municipal Airport,Boardman/Polando Field,
CZX,ZSCG,Changzhou Benniu Airport,,
AAQ,URKA,Anapa Airport,,
LRL,DXNG,Niamtougou International Airport,,
YYY,CYYY,Mont-Joli Airport,,
OTM,KOTM,Ottumwa Regional Airport,,
TLI,WAMI,Sultan Bantilan Airport,Lalos Airport,
LZO,ZULZ,Luzhou Yunlong Airport,,
COT,KCOT,Cotulla–La Salle County Airport,,
END,KEND,Vance Air Force Base,,
RAN,LIDR,Ravenna Airport,,
DNA,RODN,Kadena Air Base,,
TKU,EFTU,Turku Airport,,
RRI,,Barora Airport,,
ABC,LEAB,Albacete Airport,,
IMN,AYII,Imane Airport,,
UKS,UKFB,Sevastopol International Airport,,
JYR,OIKJ,Jiroft Airport,,
ILI,PAIL,Iliamna Airport,,
WSI,YSWS,Western Sydney Airport,Nancy-Bird Walton Airport,
TTM,,Tablón de Tamará Airport,,
LEP,SNDN,Leopoldina Airport,,
IXD,VIAL,Allahabad Airport,Bamrauli Air Force Base,
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,,
URB,,Castilho Airport,Urubupunga Airport,
EOH,SKMD,Olaya Herrera Airport,,
WJU,RKNW,Wonju Airport,,
DXN,VIND,Noida International Airport,,
ALK,,Asella Airport,,
GZT,LTAJ,Gaziantep Oğuzeli International Airport,,
MYO,YMYR,Myroodah Airport,,
OYE,FOGO,Oyem Airport,,
CHY,AGGC,Choiseul Bay Airport,,
AVP,KAVP,Wilkes-Barre/Scranton International Airport,,
SZO,,Suzhou City Air Terminal of Shanghai Airport,,
FAY,KFAY,Fayetteville Regional Airport,Grannis Field,
MCP,SBMQ,Alberto Alcolumbre International Airport,,
PTS,KPTS,Atkinson Municipal Airport,,
VCS,VVCS,Con Dao Airport,Cỏ Ống Airport,
SNK,KSNK,Winston Field Airport,,
VUP,SKVP,Alfonso López Pumarejo Airport,,
KHZ,NTKA,Kauehi Aerodrome,,
TKT,VTPT,Tak Airport,,
HNL,PHNL,Honolulu International Airport,,
KMV,VYKL,Kalaymyo Airport,Kalemyo Airport,
BIQ,LFBZ,Biarritz Pays Basque Airport,,
KLD,UUEM,Migalovo Air Base,,
PUP,DFCP,Pô Airport,,
NYG,KNYG,MCAF Quantico,Turner Field,
AVO,KAVO,Avon Park Executive Airport,,
FNJ,ZKPY,Pyongyang Sunan International Airport,,
IOK,,Iokea Airport,,
YZP,CYZP,Sandspit Airport,,
MPC,WIPU,Mukomuko Airport,,
WRW,YWWG,Warrawagine Airport,,
TGA,WSAT,Tengah Air Base,,
BAV,ZBOW,Baotou Airport,,
YNS,CYHH,Nemiscau Airport,,
VUS,ULWU,Veliky Ustyug Airport,,
EOI,EGED,Eday Airport,,
PSU,WIOP,Pangsuma Airport,,
YCY,CYCY,Clyde River Airport,,
AEM,UHTG,Amgu Airport,,
PWL,WICP,Wirasaba Airport,,
DUR,FALE,King Shaka International Airport,,
PLV,UKHP,Poltava Airport,,
HEI,EDXB,Heide–Büsum Airport,,
KDS,,Kamaran Downs Airport,,
PZA,SKPZ,Paz de Ariporo Airport,,
KJT,WICA,Kertajati International Airport,,
NQA,KNQA,Millington Regional Jetport,,
WLA,YWAL,Wallal Airport,,
UGO,FNUG,Uíge Airport,,
ZZA,,Ko Mai Si Airport,,
UAB,LTAG,Incirlik Air Base,,
LCG,LECO,A Coruña Airport,,
AHZ,LFHU,Alpe d'Huez Airport,,
UUA,UWKB,Bugulma Airport,,
AVK,ZMAH,Arvaikheer Airport,,
MEE,NWWR,Maré Airport,,
AFF,KAFF,United States Air Force Academy Airfield,,
BOI,KBOI,Boise Air Terminal,Gowen Field,
MPJ,KMPJ,Petit Jean Park Airport,,
ZAM,RPMZ,Zamboanga International Airport,,
AJJ,GQNJ,Akjoujt Airport,,
LAQ,HLLQ,Al Abraq International Airport,,
KOI,EGPA,Kirkwall Airport,,
KLF,UUBC,Grabtsevo Airport,,
UTW,FAQT,Queenstown Airport,,
LTF,,Leitre Airport,,
PPF,KPPF,Tri-City Airport,,
YIO,CYIO,Pond Inlet Airport,,
VTG,VVVT,Vung Tau Airport,,
NIK,,Niokolo-Koba Airport,,
LAM,KLAM,Los Alamos County Airport,,
QSF,DAAS,Ain Arnat Airport,,
BBD,KBBD,Curtis Field,,
STE,KSTE,Stevens Point Municipal Airport,,
KBY,YKBY,Streaky Bay Airport,,
DEH,KDEH,Decorah Municipal Airport,,
CRT,KCRT,Z. M. Jack Stell Field,,
TVY,VYDW,Dawei Airport,,
MWT,YMWT,Moolawatana Airport,,
HDO,VIDX,Hindon Airport,,
DJB,WIPA,Sultan Thaha Airport,,
VAA,EFVA,Vaasa Airport,,
LFM,OISR,Lamerd Airport,,
LUM,ZPMS,Dehong Mangshi Airport,,
SMI,LGSM,"Samos International Airport""Aristarchos of Samos""",,
SFC,TFFC,Saint-François Airport,,
IXY,VAKE,Kandla Airport,Gandhidham Airport,
ZNA,,Nanaimo Harbour Water Airport,,TC: CAC8
KHG,ZWSH,Kashgar Airport,Kashi Airport,
PGH,VIPT,Pantnagar Airport,,
UKE,VEUK,Utkela Airport,,
SEP,KSEP,Stephenville Clark Regional Airport,,
CTL,YBCV,Charleville Airport,,
PYS,,Paradise Skypark,,FAA: CA92
YSP,CYSP,Marathon Aerodrome,,
IAG,KIAG,Niagara Falls International Airport,,
WBC,,Wapolu Airport,,
FAM,KFAM,Farmington Regional Airport,,
KKH,PADY,Kongiganak Airport,,FAA: DUY
XFN,ZHXF,Xiangyang Liuji Airport,,
CWJ,ZPCW,Cangyuan Washan Airport,,
PAM,KPAM,Tyndall Air Force Base,,
ZCL,MMZC,General Leobardo C. Ruiz International Airport,,
AKS,AGGA,Auki Gwaunaru'u Airport,,
CSN,KCXP,Carson Airport,,FAA: CXP
BXB,WASO,Babo Airport,,
ORH,KORH,Worcester Regional Airport,,
QUG,EGHR,Chichester/Goodwood Airport,,
RUR,NTAR,Rurutu Airport,,
HNM,PHHN,Hana Airport,,
DDM,,Dodoima Airport,,
BVM,SD6P,Belmonte Airport,,
YHS,,Sechelt Aerodrome,,TC: CAP3
EGN,HSGN,Geneina Airport,,
PRN,BKPR,Pristina International Airport Adem Jashari,,
OIR,RJEO,Okushiri Airport,,
CKD,PACJ,Crooked Creek Airport,,FAA: CJX
BQJ,,Batagay Airport,,
GUQ,SVGU,Guanare Airport,,
MUJ,HAMR,Mui Airport,,
PZU,HSPN,Port Sudan New International Airport,,
OYN,YOUY,Ouyen Airport,,
TWU,WBKW,Tawau Airport,,
HEB,VBHD,Hinthada Airport,,
IDP,KIDP,Independence Municipal Airport,,
TTR,WAWT,Pongtiku Airport,,
MNT,,Minto Al Wright Airport,,FAA: 51Z
GEC,,Geçitkale Air Base,,
RCO,LFDN,Rochefort – Saint-Agnant Airport,,
OTT,,Andre Maggi Airport,,
DIL,WPDL,Presidente Nicolau Lobato International Airport,,
PLU,SBBH,Belo Horizonte/Pampulha – Carlos Drummond de Andrade Airport,,
NTJ,,Manti-Ephraim Airport,,FAA: 41U
SOX,SKSO,Alberto Lleras Camargo Airport,,
LND,KLND,Hunt Field,,
SKO,DNSO,Sadiq Abubakar III International Airport,,
KKB,,Kitoi Bay Seaplane Base,,
MWH,KMWH,Grant County International Airport,,
RNU,WBKR,Ranau Airport,,
SCQ,LEST,Santiago de Compostela Airport,,
SML,MYLS,Stella Maris Airport,,
RWL,KRWL,Rawlins Municipal Airport,Harvey Field,
KOC,NWWK,Koumac Airport,,
GGD,YGDS,Gregory Downs Airport,,
OND,FYOA,Ondangwa Airport,,
CXN,HCMC,Candala Airport,,
KLH,VAKP,Kolhapur Airport,,
WML,FMMC,Malaimbandy Airport,,
RBI,NFFR,Rabi Airport,,
MIF,,Roy Hurd Memorial Airport,,FAA: E01
MZC,FOOM,Mitzic Airport,,
SVU,NFNS,Savusavu Airport,,
NMG,,San Miguel Airport,,
GTT,YGTN,Georgetown Airport,,
BDN,OPTH,Talhar Airport,,
LAA,KLAA,Lamar Municipal Airport,,
ICT,KICT,Wichita Dwight D. Eisenhower National Airport,,
KOE,WATT,El Tari Airport,,
UDR,VAUD,Maharana Pratap Airport,,
PMY,SAVY,El Tehuelche Airport,,
RNN,EKRN,Bornholm Airport,,
MBU,AGGI,Mbambanakira Airport,,
OYO,SAZH,Tres Arroyos Airport,,
SDV,LLSD,Sde Dov Airport,,
JDO,SBJU,Juazeiro do Norte Airport,,
MCX,URML,Uytash Airport,,
HFS,ESOH,Hagfors Airport,,
MUG,MMMG,Mulegé Airstrip,,
MDT,KMDT,Harrisburg International Airport,,
KEE,FCOK,Kelle Airport,,
HDG,ZBHD,Handan Airport,,
MSL,KMSL,Northwest Alabama Regional Airport,,
WEI,YBWP,Weipa Airport,,
ZAH,OIZH,Zahedan Airport,,
YOS,CYOS,Billy Bishop Regional Airport,,
OSR,LKMT,Leoš Janáček Airport Ostrava,,
YBA,CYBA,Banff Airport,,
XBN,,Biniguni Airport,,
BTW,WAOC,Batu Licin Airport,,
TCJ,,Torembi Airport,,
KIW,FLSO,Southdowns Airport,,
MTX,PABK,Metro Field,,FAA: MTF
BIK,WABB,Frans Kaisiepo Airport,,
CCC,MUCC,Jardines del Rey Airport,,
HLH,ZBUL,Ulanhot Airport,,
SYM,ZPSM,Pu'er Simao Airport,,
SMX,KSMX,Santa Maria Public Airport,Capt. G. Allan Hancock Field,
UIL,KUIL,Quillayute Airport,,
AGW,,Agnew Airport,,
OPL,KOPL,St. Landry Parish Airport,Ahart Field,
WTA,FMMU,Tambohorano Airport,,
USC,,Union County Airport/Troy Shelton Field,,FAA: 35A
KPC,PAPC,Port Clarence Coast Guard Station,,
WYA,YWHA,Whyalla Airport,,
YDL,CYDL,Dease Lake Airport,,
CKG,ZUCK,Chongqing Jiangbei International Airport,,
SLZ,SBSL,Marechal Cunha Machado International Airport,,
KAS,FYKB,Karasburg Airport,,
BJM,HBBA,Bujumbura International Airport,,
MVW,KBVS,Skagit Regional Airport,,FAA: BVS
BZO,LIPB,Bolzano Airport,,
IXU,VAAU,Aurangabad Airport,Chikkalthana Airport,
MFA,HTMA,Mafia Airport,,
GMM,FCOG,Gamboma Airport,,
SBF,OADS,Sardeh Band Airport,,
CNV,SNED,Canavieiras Airport,,
FOY,,Foya Airport,,
JAV,BGJN,Ilulissat Airport,,
NOT,KDVO,Marin County Airport,Gnoss Field,FAA: DVO
VAC,EDWU,Varrelbusch Airport,,
EDD,,Erldunda Airport,,
KEZ,,Kelani River-Peliyagoda Waterdrome,,
BYG,KBYG,Johnson County Airport,,
ANR,EBAW,Antwerp International Airport,,
TGI,SPGM,Tingo María Airport,,
NKO,,Ankokoambo Airport,,
HHN,EDFH,Frankfurt–Hahn Airport,,
BNC,FZNP,Beni Airport,,
MKZ,WMKM,Malacca International Airport,,
GWA,VYGW,Gwa Airport,,
YTL,CYTL,Big Trout Lake Airport,,
WPR,SCFM,Capitán Fuentes Martínez Airport,,
ABV,DNAA,Nnamdi Azikiwe International Airport,,
KDU,OPSD,Skardu Airport,,
STW,URMT,Stavropol Shpakovskoye Airport,,
KEH,,Kenmore Air Harbor,,FAA: S60
YQQ,CYQQ,CFB Comox,,
ZAR,DNZA,Zaria Airport,,
DJE,DTTJ,Djerba–Zarzis International Airport,,
YXS,CYXS,Prince George Airport,,
LBQ,FOGR,Lambaréné Airport,,
BDI,FSSB,Bird Island Airport,,
SSC,KSSC,Shaw Air Force Base,,
YLH,CYLH,Lansdowne House Airport,,
PKG,WMPA,Pangkor Airport,,
KCL,,Chignik Lagoon Airport,Chignik Flats Airport,
XKH,VLXK,Xieng Khouang Airport,,
FLM,SGFI,Filadelfia Airport,,
CBK,KCBK,Colby Municipal Airport,Shalz Field,
BOC,MPBO,"Bocas del Toro ""Isla Colón"" International Airport",,
BFO,FVCZ,Buffalo Range Airport,,
VDE,GCHI,El Hierro Airport,,
TLM,DAON,Zenata – Messali El Hadj Airport,,
ITH,KITH,Ithaca Tompkins Regional Airport,,
KCP,,Kamianets-Podilskyi Airport,,
AZP,MMJC,Jorge Jiménez Cantú National Airport,,
YKJ,CYKJ,Key Lake Airport,,
YIB,CYIB,Atikokan Municipal Airport,,
YEL,CYEL,Elliot Lake Municipal Airport,,
TTG,SAST,"Tartagal ""General Enrique Mosconi"" Airport",,
NDE,HKMA,Mandera Airport,,
IAM,DAUZ,In Amenas Airport,Zarzaitine Airport,
KLR,ESMQ,Kalmar Airport,,
BTC,VCCB,Batticaloa International Airport,,
UTB,YMTB,Muttaburra Airport,,
ELY,KELY,Ely Airport,,
BMU,WADB,Sultan Muhammad Salahudin Airport,Bima Airport,
RNE,LFLO,Roanne Renaison Airport,,
CUD,YCDR,Caloundra Airport,,
DNR,LFRD,Dinard–Pleurtuit–Saint-Malo Airport,,
LHA,EDTL,Flughafen Lahr,Lahr Airport,
DRA,KDRA,Desert Rock Airport,,
CJC,SCCF,El Loa Airport,,
ISW,KISW,South Wood County Airport,Alexander Field,
BNM,AYBD,Bodinumu Airport,,
SFZ,KSFZ,North Central State Airport,,
MXU,YMWA,Mullewa Airport,,
FFA,KFFA,First Flight Airport,,
OKU,FYMO,Mokuti Lodge Airport,,
MFZ,,Meselia Airport,,
SSE,VASL,Solapur Airport,,
HUQ,HLON,Hun Airport,,
DEZ,OSDZ,Deir ez-Zor Airport,,
IOW,KIOW,Iowa City Municipal Airport,,
LIS,LPPT,Lisbon Portela Airport,,
LOP,WADL,Lombok International Airport,,
IBO,,Ibo Island Airport,,
NYK,HKNY,Nanyuki Airport,,
LVR,SILC,Bom Futuro Municipal Airport,,
SOG,ENSG,"Sogndal Airport, Haukåsen",,
SFK,SNSW,Soure Airport,,
ROZ,LERT,US Naval Station Rota,,
LXU,FLLK,Lukulu Airport,,
CKN,KCKN,Crookston Municipal Airport,Kirkwood Field,
SNX,OIIS,Semnan Municipal Airport,,
ONY,KONY,Olney Municipal Airport,,
ARI,SCAR,Chacalluta International Airport,,
RVT,YNRV,Ravensthorpe Airport,,
HFF,KHFF,Mackall Army Airfield,,
SFA,DTTX,Sfax–Thyna International Airport,,
HOM,PAHO,Homer Airport,,
MEI,KMEI,Meridian Regional Airport,Key Field,
STV,VASU,Surat Airport,,
GIL,OPGT,Gilgit Airport,,
BPC,FKKV,Bamenda Airport,,
NTQ,RJNW,Noto Airport,,
MIW,KMIW,Marshalltown Municipal Airport,,
MBZ,SWMW,Maués Airport,,
HYV,EFHV,Hyvinkää Airfield,,
GPD,YGON,Mount Gordon Airport,,
