iata_code,icao_code,airport_name,alt_name,other_codes
BRV,EDWB,Bremerhaven Airport,,
POG,FOOG,Port-Gentil International Airport,,
GRN,KGRN,Gordon Municipal Airport,,
IJU,SSIJ,João Batista Bos Filho Airport,,
BCY,HABU,Bulchi Airport,,
GNA,UMMG,Grodno Airport,,
CZK,KCZK,Cascade Locks State Airport,,
MVO,FTTM,Mongo Airport,,
SWT,UNSS,Strezhevoy Airport,,
YNJ,ZYYJ,Yanji Chaoyangchuan Airport,,
PCN,NZOK,Picton Aerodrome,,
NEC,SAZO,Necochea Airport,,
LKB,NFNK,Lakeba Airport,,
KHS,OOKB,Khasab Airport,,
YFS,CYFS,Fort Simpson Airport,,
SPW,KSPW,Spencer Municipal Airport,,
WKA,NZWF,Wānaka Airport,,
LGX,HCMJ,Lugh Ganane Airport,,
RPI,,Rampi Airport,,
KKY,EIKK,Kilkenny Airport,,
ATX,,Atbasar Airport,,
CFI,YCFD,Camfield Airport,,
SHV,KSHV,Shreveport Regional Airport,,
MPG,,Makini Airport,,
KWT,PFKW,Kwethluk Airport,,
KOJ,RJFK,Kagoshima Airport,,
BIX,KBIX,Keesler Air Force Base,,
KJK,EBKT,Kortrijk–Wevelgem International Airport,,
YAN,FZIR,Yangambi Airport,,
YKO,LTCW,Hakkari Yüksekova Airport,,
OWA,KOWA,Owatonna Degner Regional Airport,,
SZS,NZRC,Ryan's Creek Aerodrome,,
GRK,KGRK,Killeen Regional Airport/Robert Gray Army Airfield,,
VRS,,Roy Otten Memorial Airfield,,FAA: 3VS
PCU,,Poplarville-Pearl River County Airport,,FAA: M13
VBC,VYCZ,Mandalay Chanmyathazi Airport,,
BDL,KBDL,Bradley International Airport,,
HFD,KHFD,Hartford–Brainard Airport,,
AEY,BIAR,Akureyri Airport,,
AJS,MX86,Punta Abreojos Airstrip,,
CGO,ZHCC,Zhengzhou Xinzheng International Airport,,
DPA,KDPA,DuPage Airport,,
LDE,LFBT,Tarbes–Lourdes–Pyrénées Airport,,
ORS,,Orpheus Island Resort Waterport,,
NGF,PHNG,MCAS Kaneohe Bay,,
MTF,HAMT,Mizan Teferi Airport,,
DWB,FMNO,Soalala Airport,,
NPH,,Nephi Municipal Airport,,FAA: U14
MWN,HTMD,Mwadui Airport,,
CCF,LFMK,Carcassonne Airport,,
HSC,,Shaoguan Guitou Airport,,
DSC,FKKS,Dschang Airport,,
APZ,SAHZ,Zapala Airport,,
TZL,LQTZ,Tuzla International Airport,,
MJS,,Maganja da Costa Airport,,
BRO,KBRO,Brownsville/South Padre Island International Airport,,
NDG,ZYQQ,Qiqihar Sanjiazi Airport,,
EUG,KEUG,Eugene Airport,Mahlon Sweet Airport,
VLV,SVVL,Dr. Antonio Nicolás Briceño Airport,,
YBY,CYBF,Bonnyville Airport,,
FAE,EKVG,Vágar Airport,,
MMG,YMOG,Mount Magnet Airport,,
OHS,OOSH,Sohar Airport,,
YWQ,,Chutes-des-Passes/Lac Margane Water Aerodrome,,TC: CTM3
XAP,SBCH,Serafin Enoss Bertaso Airport,,
RWN,UKLR,Rivne International Airport,,
STX,TISX,Henry E. Rohlsen Airport,,
COL,,Coll Airport,,
AEP,SABE,Jorge Newbery Airpark,,
YWP,CYWP,Webequie Airport,,
NLU,MMSM,"Santa Lucía Air Force Base Num 1,Felipe Ángeles International Airport",,
UBJ,RJDC,Yamaguchi Ube Airport,,
REN,UWOO,Orenburg Tsentralny Airport,,
KSN,UAUU,Kostanay Airport,,
ACJ,VCCA,Anuradhapura Airport,,
BQO,DIBN,Tehini Airport,,
CNF,SBCF,Tancredo Neves International Airport,Confins Int'l Airport,
COM,KCOM,Coleman Municipal Airport,,
BLE,ESSD,Dala Airport,Borlänge Airport,
PIF,RCDC,Pingtung South Airport,,
IMQ,OITU,Maku International Airport,,
HPY,KHPY,Baytown Airport,,
LSJ,,Long Island Airport,,
TIE,HATP,Tippi Airport,,
GLF,MRGF,Golfito Airport,,
ICI,NFCI,Cicia Airport,,
RUF,WAJE,Yuruf Airport,,
CRK,RPLC,Clark International Airport,,
ISC,EGHE,St Mary's Airport,,
AIG,FEFY,Yalinga Airport,,
BNQ,,Baganga Airport,,
GUW,UATG,Atyrau Airport,,
MXX,ESKM,Mora–Siljan Airport,,
MNH,,Al-Musannah Airport,,
KBN,FZWT,Tunta Airport,,
NIO,FZBI,Nioki Airport,,
JOH,FAPJ,Port St. Johns Airport,,
EGS,BIEG,Egilsstaðir Airport,,
AQM,,Ariquemes Airport,,
YPB,,Alberni Valley Regional Airport,,TC: CBS8
PCO,MMPL,Punta Colorada Airstrip,,
WEA,KWEA,Parker County Airport,,
AKR,DNAK,Akure Airport,,
WAQ,FMMG,Antsalova Airport,,
MAL,WAPE,Mangole Airport,,
BSP,AYBH,Bensbach Airport,,
YLX,,Yulin Fumian Airport,,
BLQ,LIPE,Bologna Guglielmo Marconi Airport,,
TRR,VCCT,China Bay Airport,,
TSP,KTSP,Tehachapi Municipal Airport,,
MFO,,Manguna Airport,,
MPD,OPMP,Sindhri Airport,,
TLO,,Tol Airport,,
AYL,,Anthony Lagoon Airport,,
CYF,PACK,Chefornak Airport,,FAA: CFK
EPG,,Browns Airport,,FAA: NE69
RIN,AGRC,Ringgi Cove Airport,,
ROP,PGRO,Rota International Airport,,FAA: GRO
RMU,LEMI,Región de Murcia International Airport,,
GJA,MHNJ,Guanaja Airport,,
YFC,CYFC,Fredericton International Airport,,
URC,ZWWW,Ürümqi Diwopu International Airport,,
CVI,,Caleta Olivia Airport,,
SXZ,LTCL,Siirt Airport,,
YYB,CYYB,North Bay/Jack Garland Airport,,
SVQ,LEZL,Seville Airport,,
COJ,YCBB,Coonabarabran Airport,,
ZZU,FWUU,Mzuzu Airport,,
PEA,YPSH,Penneshaw Airport,,
SZG,LOWS,Salzburg Airport,,
HUM,KHUM,Houma–Terrebonne Airport,,
THV,KTHV,York Airport,,
ASO,HASO,Asosa Airport,,
EPA,SADP,El Palomar Airport,,
GNU,,Goodnews Airport,,
NPG,,Nipa Airport,,
CYI,RCKU,Chiayi Airport,,
RCT,KRCT,Nartron Field,,
TSK,,Taskul Airport,,
GHN,ZUGH,Guanghan Airport,,
